Year,Name,Link,Metrics,Venue,Human evaluation framework,Axes,sample #,annotator #,Significance test,Annotator agreement
2024,Mining Fine-Grained Image-Text Alignment for Zero-Shot Captioning via Text-Only Training,Mining Fine-Grained Image-Text Alignment for Zero-Shot Captioning via Text-Only Training,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2024,,,,,,
2024,Cycle-Consistency Learning for Captioning and Grounding,Cycle-Consistency Learning for Captioning and Grounding | Proceedings of the AAAI Conference on Artificial Intelligence,"BLEU, METEOR, CIDEr, SPICE",AAAI 2024,,,,,,
2024,Noise-Aware Image Captioning with Progressively Exploring Mismatched Words,Noise-Aware Image Captioning with Progressively Exploring Mismatched Words,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2024,,,,,,
2023,Improving Image Captioning via Predicting Structured Concepts,[2311.08223] Improving Image Captioning via Predicting Structured Concepts,"BLEU, METEOR, ROUGE, CIDEr, SPICE",EMNLP 2023,,,,,,
2023,Gender Biases in Automatic Evaluation Metrics for Image Captioning,Gender Biases in Automatic Evaluation Metrics for Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE, CLIPScore",EMNLP 2023,,,,,,
2023,MemeCap: A Dataset for Captioning and Interpreting Memes,[2305.13703] MemeCap: A Dataset for Captioning and Interpreting Memes,"BLEU, ROUGE, BERTScore",EMNLP 2023,,,,,,
2023,IC3: Image Captioning by Committee Consensus,[2302.01328] IC3: Image Captioning by Committee Consensus,"retrieval, Noun overlap, Verb overlap, fuzzy Noun overlap, fuzzy Verb overlap",EMNLP 2023,"comparative, scale rating","helpful for someone who can't see the image, correctness",,,yes,no
2023,Query-based Image Captioning from Multi-context 360cdegree Images,Query-based Image Captioning from Multi-context 360cdegree Images - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE, CLIPScore, RefCLIPScore",EMNLP 2023,scale rating,relevent for image,150,,no,no
2023,Re-ViLM: Retrieval-Augmented Visual Language Model for Zero and Few-Shot Image Captioning,Re-ViLM: Retrieval-Augmented Visual Language Model for Zero and Few-Shot Image Captioning - ACL Anthology,"BLEU, CIDEr, SPICE",EMNLP 2023,,,,,,
2023,Violet: A Vision-Language Model for Arabic Image Captioning with Gemini Decoder,Violet: A Vision-Language Model for Arabic Image Captioning with Gemini Decoder - ACL Anthology,"BLEU, ROUGE, CIDEr",EMNLP 2023,,,,,,
2023,Cross2StrA: Unpaired Cross-lingual Image Captioning with Cross-lingual Cross-modal Structure-pivoted Alignment,Cross2StrA: Unpaired Cross-lingual Image Captioning with Cross-lingual Cross-modal Structure-pivoted Alignment - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr",ACL 2023,scale rating,"relevancy, diversification, fluency",,,yes,no
2023,MultiCapCLIP: Auto-Encoding Prompts for Zero-Shot Multilingual Visual Captioning,MultiCapCLIP: Auto-Encoding Prompts for Zero-Shot Multilingual Visual Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ACL 2023,,,,,,
2023,Transforming Visual Scene Graphs to Image Captions,Transforming Visual Scene Graphs to Image Captions - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ACL 2023,,,,,,
2023,“Let’s not Quote out of Context”: Unified Vision-Language Pretraining for Context Assisted Image Captioning,“Let’s not Quote out of Context”: Unified Vision-Language Pretraining for Context Assisted Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, Named entities PR",ACL 2023,,,,,,
2023,LMCap: Few-shot Multilingual Image Captioning by Retrieval Augmented Language Model Prompting,LMCap: Few-shot Multilingual Image Captioning by Retrieval Augmented Language Model Prompting - ACL Anthology,CIDEr,ACL 2023,,,,,,
2023,Pragmatic Inference with a CLIP Listener for Contrastive Captioning,Pragmatic Inference with a CLIP Listener for Contrastive Captioning,perplexity,ACL 2023,"scale rating, retrieval",fluency,100,,no,no
2023,Exploring the Impact of Vision Features in News Image Captioning,Exploring the Impact of Vision Features in News Image Captioning - ACL Anthology,"BLEU, ROUGE, CIDEr, Named entities PR",ACL 2023,,,,,,
2023,CLIP-based image captioning via unsupervised cycle-consistency in the latent space,CLIP-based image captioning via unsupervised cycle-consistency in the latent space - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr",ACL 2023,,,,,,
2023,Towards Adaptable and Interactive Image Captioning with Data Augmentation and Episodic Memory,Towards Adaptable and Interactive Image Captioning with Data Augmentation and Episodic Memory - ACL Anthology,CIDEr,ACL 2023,,,,,,
2023,Generating Visual Spatial Description via Holistic 3D Scene Understanding,Generating Visual Spatial Description via Holistic 3D Scene Understanding - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ACL 2023,scale rating,"spatial accuracy, spatial diversity, fluency",100,10,no,no
2023,Retrieval-augmented Image Captioning,Retrieval-augmented Image Captioning - ACL Anthology,"BLEU, METEOR, CIDEr, SPICE",EACL 2023,,,,,,
2023,Style-Aware Contrastive Learning for Multi-Style Image Captioning,Style-Aware Contrastive Learning for Multi-Style Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE, perplexity",EACL 2023,comparative,"engagingness, relevant for image, style relevance",150,7,no,no
2023,Betrayed by Captions: Joint Caption Grounding and Generation for Open vocabulary Instance Segmentation,Betrayed by Captions: Joint Caption Grounding and Generation for Open vocabulary Instance Segmentation,"BLEU, ROUGE, CIDEr",ICCV 2023,,,,,,
2023,OxfordTVG-HIC: Can Machine Make Humorous Captions from Images?,OxfordTVG-HIC: Can Machine Make Humorous Captions from Images?,"perplexity, CLIP diversity",ICCV 2023,,,,,,
2023,Guiding Image Captioning Models Toward More Specific Captions,Guiding Image Captioning Models Toward More Specific Captions,"BLEU, METEOR, ROUGE, CIDEr, CLIPScore, RefCLIPScore, retrieval",ICCV 2023,comparative,"better, more descriptive",,,yes,no
2023,PromptCap: Prompt-Guided Image Captioning for VQA with GPT-3,PromptCap: Prompt-Guided Image Captioning for VQA with GPT-3,"BLEU, METEOR, CIDEr, SPICE",ICCV 2023,,,,,,
2023,Self-supervised Cross-view Representation Reconstruction for Change Captioning,Self-supervised Cross-view Representation Reconstruction for Change Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2023,,,,,,
2023,Transferable Decoding with Visual Entities for Zero-Shot Image Captioning,Transferable Decoding with Visual Entities for Zero-Shot Image Captioning,"BLEU, METEOR, CIDEr, SPICE",ICCV 2023,,,,,,
2023,RCA-NOC: Relative Contrastive Alignment for Novel Object Captioning,RCA-NOC: Relative Contrastive Alignment for Novel Object Captioning,"BLEU, METEOR, CIDEr, SPICE",ICCV 2023,,,,,,
2023,Noise-Aware Learning from Web-Crawled Image-Text Data for Image Captioning,Noise-Aware Learning from Web-Crawled Image-Text Data for Image Captioning,"BLEU, METEOR, CIDEr, SPICE, CLIPScore, retrieval, exact match",ICCV 2023,,,,,,
2023,With a Little Help from Your Own Past: Prototypical Memory Networks for Image Captioning,With a Little Help from Your Own Past: Prototypical Memory Networks for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, CLIPScore, RefCLIPScore, BERTScore, PACScore, RefPACScore, CHAIR",ICCV 2023,,,,,,
2023,Explore and Tell: Embodied Visual Captioning in 3D Environments,Explore and Tell: Embodied Visual Captioning in 3D Environments,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ICCV 2023,,,,,,
2023,UniT3D: A Unified Transformer for 3D Dense Captioning and Visual Grounding,UniT3D: A Unified Transformer for 3D Dense Captioning and Visual Grounding,"BLEU, METEOR, ROUGE, CIDEr",ICCV 2023,,,,,,
2023,Cross-Domain Image Captioning With Discriminative Finetuning,Cross-Domain Image Captioning With Discriminative Finetuning,"BLEU, METEOR, CIDEr, SPICE",CVPR 2023,,,,,,
2023,A-Cap: Anticipation Captioning With Commonsense Knowledge,A-Cap: Anticipation Captioning With Commonsense Knowledge,"BLEU, CIDEr, SPICE, CLIPScore, RefCLIPScore, retrieval",CVPR 2023,,,,,,
2023,Semantic-Conditional Diffusion Networks for Image Captioning,Semantic-Conditional Diffusion Networks for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2023,,,,,,
2023,ConZIC: Controllable Zero-Shot Image Captioning by Sampling-Based Polishing,ConZIC: Controllable Zero-Shot Image Captioning by Sampling-Based Polishing,"BLEU, METEOR, CIDEr, SPICE, CLIPScore, RefCLIPScore, vocab, Self-CIDEr, Div-n",CVPR 2023,,,,,,
2023,HAAV: Hierarchical Aggregation of Augmented Views for Image Captioning,HAAV: Hierarchical Aggregation of Augmented Views for Image Captioning,"BLEU, METEOR, CIDEr, SPICE",CVPR 2023,,,,,,
2023,End-to-End 3D Dense Captioning With Vote2Cap-DETR,End-to-End 3D Dense Captioning With Vote2Cap-DETR,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2023,,,,,,
2023,SmallCap: Lightweight Image Captioning Prompted With Retrieval Augmentation,SmallCap: Lightweight Image Captioning Prompted With Retrieval Augmentation,"BLEU, METEOR, CIDEr, SPICE",CVPR 2023,,,,,,
2023,Model-Agnostic Gender Debiased Image Captioning,Model-Agnostic Gender Debiased Image Captioning,"BLEU, METEOR, CIDEr, SPICE, CLIPScore, Gender error, LIC, BiasAmp",CVPR 2023,,,,,,
2023,Crossing the Gap: Domain Generalization for Image Captioning,Crossing the Gap: Domain Generalization for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2023,,,,,,
2023,Exploring Diverse In-Context Configurations for Image Captioning,Exploring Diverse In-Context Configurations for Image Captioning,CIDEr,Neurips 2023,,,,,,
2023,Learning Descriptive Image Captioning via Semipermeable Maximum Likelihood Estimation,Learning Descriptive Image Captioning via Semipermeable Maximum Likelihood Estimation,"CLIPScore, retrieval, vocab, perplexity",Neurips 2023,scale rating,"descriptiveness, accuracy, fluency",100,,no,no
2023,Scalable 3D Captioning with Pretrained Models,Scalable 3D Captioning with Pretrained Models,"CLIPScore, retrieval",Neurips 2023,comparative,better,,,no,no
2023,Evidential Interactive Learning for Medical Image Captioning,Evidential Interactive Learning for Medical Image Captioning,"BLEU, METEOR, ROUGE",ICML 2023,,,,,,
2023,DeCap: Decoding CLIP Latents for Zero-Shot Captioning via Text-Only Training,[2303.03032] DeCap: Decoding CLIP Latents for Zero-Shot Captioning via Text-Only Training,"BLEU, METEOR, CIDEr, SPICE",ICLR 2023,,,,,,
2023,Uncertainty-Aware Image Captioning,Uncertainty-Aware Image Captioning | Proceedings of the AAAI Conference on Artificial Intelligence,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2023,comparative,,200,15,no,no
2023,Aesthetically Relevant Image Captioning,Aesthetically Relevant Image Captioning | Proceedings of the AAAI Conference on Artificial Intelligence,"METEOR, ROUGE, CIDEr, SPICE",AAAI 2023,,,,,,
2023,"Show, Interpret and Tell: Entity-Aware Contextualised Image Captioning in Wikipedia","Show, Interpret and Tell: Entity-Aware Contextualised Image Captioning in Wikipedia","BLEU, SPICE, Named entities PR",AAAI 2023,,,,,,
2023,Efficient Image Captioning for Edge Devices,Efficient Image Captioning for Edge Devices,"BLEU, METEOR, CIDEr, SPICE",AAAI 2023,,,,,,
2023,Controllable image captioning via prompting,Controllable Image Captioning via Prompting | Proceedings of the AAAI Conference on Artificial Intelligence,"BLEU, METEOR, CIDEr, SPICE",AAAI 2023,,,,,,
2022,CapOnImage: Context-driven Dense-Captioning on Image,CapOnImage: Context-driven Dense-Captioning on Image - ACL Anthology,"BLEU, METEOR, CIDEr, Div-n",EMNLP 2022,comparative,"relevance, diversity, informativeness",400,5,no,no
2022,Cross-Modal Similarity-Based Curriculum Learning for Image Captioning,Cross-Modal Similarity-Based Curriculum Learning for Image Captioning - ACL Anthology,"BLEU, METEOR, CIDEr, SPICE",EMNLP 2022,,,,,,
2022,FaD-VLP: Fashion Vision-and-Language Pre-training towards Unified Retrieval and Captioning,FaD-VLP: Fashion Vision-and-Language Pre-training towards Unified Retrieval and Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr",EMNLP 2022,,,,,,
2022,Text-Only Training for Image Captioning using Noise-Injected CLIP,Text-Only Training for Image Captioning using Noise-Injected CLIP - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr",EMNLP 2022,,,,,,
2022,Focus! Relevant and Sufficient Context Selection for News Image Captioning,Focus! Relevant and Sufficient Context Selection for News Image Captioning - ACL Anthology,"BLEU, ROUGE, CIDEr, Named entities PR",EMNLP 2022,,,,,,
2022,Visual Spatial Description: Controlled Spatial-Oriented Image-to-Text Generation,Visual Spatial Description: Controlled Spatial-Oriented Image-to-Text Generation - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",EMNLP 2022,scale rating,"spatial correctness, fluency, location correctness",400,3,no,no
2022,Factual Accuracy is not Enough: Planning Consistent Description Order for Radiology Report Generation,Factual Accuracy is not Enough: Planning Consistent Description Order for Radiology Report Generation - ACL Anthology,"BLEU, ROUGE, BERTScore, Clinical factual accuracy",EMNLP 2022,"scale rating, yes/no questions","fluency, clinic correctness, content order",100,8,yes,no
2022,Understanding Cross-modal Interactions in V&L Models that Generate Scene Descriptions,Understanding Cross-modal Interactions in V&L Models that Generate Scene Descriptions - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",EMNLP 2022,,,,,,
2022,Fine-grained Image Captioning with CLIP Reward,[2205.13115] Fine-grained Image Captioning with CLIP Reward,"BLEU, METEOR, ROUGE, CIDEr, BERTScore, CLIPScore, RefCLIPScore, retrieval, Rword",NAACL 2022,comparative,"overall, background, object, attribute, relation",50,10,no,no
2022,Combine to Describe: Evaluating Compositional Generalization in Image Captioning,Combine to Describe: Evaluating Compositional Generalization in Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, BERTScore",ACL 2022,,,,,,
2022,Joint Generation of Captions and Subtitles with Dual Decoding,Joint Generation of Captions and Subtitles with Dual Decoding - ACL Anthology,BLEU,ACL 2022,,,,,,
2022,CLIP4IDC: CLIP for Image Difference Captioning,CLIP4IDC: CLIP for Image Difference Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr",AACL 2022,,,,,,
2022,MORE: Multi-Order RElation Mining for Dense Captioning in 3D Scenes,MORE: Multi-Order RElation Mining for Dense Captioning in 3D Scenes | SpringerLink,"BLEU, METEOR, ROUGE, CIDEr",ECCV 2022,,,,,,
2022,"GEB+: A Benchmark for Generic Event Boundary Captioning, Grounding and Retrieval","[2204.00486] GEB+: A Benchmark for Generic Event Boundary Captioning, Grounding and Retrieval","ROUGE, CIDEr, SPICE",ECCV 2022,,,,,,
2022,StyleBabel: Artistic Style Tagging and Captioning,[2203.05321] StyleBabel: Artistic Style Tagging and Captioning,"BLEU, METEOR, ROUGE, CIDEr",ECCV 2022,,,,,,
2022,Explicit image caption editing,Explicit Image Caption Editing | SpringerLink,"BLEU, ROUGE, CIDEr, SPICE",ECCV 2022,,,,,,
2022,GRIT: Faster and Better Image Captioning Transformer Using Dual Visual Features,GRIT: Faster and Better Image Captioning Transformer Using Dual Visual Features | SpringerLink,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ECCV 2022,,,,,,
2022,Object-Centric Unsupervised Image Captioning,Object-Centric Unsupervised Image Captioning | SpringerLink,"BLEU, METEOR, ROUGE, CIDEr, SPICE, WMD",ECCV 2022,,,,,,
2022,NICGSlowDown: Evaluating the Efficiency Robustness of Neural Image Caption Generation Models,NICGSlowDown: Evaluating the Efficiency Robustness of Neural Image Caption Generation Models,BLEU,CVPR 2022,,,,,,
2022,Quantifying Societal Bias Amplification in Image Captioning,Quantifying Societal Bias Amplification in Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, LIC, Gender error, Gender ratio, BiasAmp",CVPR 2022,,,,,,
2022,3DJCG: A Unified Framework for Joint Dense Captioning and Visual Grounding on 3D Point Clouds,3DJCG: A Unified Framework for Joint Dense Captioning and Visual Grounding on 3D Point Clouds,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2022,,,,,,
2022,DIFNet: Boosting Visual Information Flow for Image Captioning,DIFNet: Boosting Visual Information Flow for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2022,,,,,,
2022,VisualGPT: Data-Efficient Adaptation of Pretrained Language Models for Image Captioning,VisualGPT: Data-Efficient Adaptation of Pretrained Language Models for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2022,"comparative, yes/no questions","most accurately describe the image content, described non-existent objects, missed existing objects",250,5,yes,no
2022,X-Trans2Cap: Cross-Modal Knowledge Transfer Using Transformer for 3D Dense Captioning,X-Trans2Cap: Cross-Modal Knowledge Transfer Using Transformer for 3D Dense Captioning,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2022,,,,,,
2022,Comprehending and Ordering Semantics for Image Captioning,Comprehending and Ordering Semantics for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, CHAIR",CVPR 2022,,,,,,
2022,DeeCap: Dynamic Early Exiting for Efficient Image Captioning,DeeCap: Dynamic Early Exiting for Efficient Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2022,yes/no questions,generated by a human (yes/no),300,8,no,no
2022,"Show, Deconfound and Tell: Image Captioning With Causal Inference","Show, Deconfound and Tell: Image Captioning With Causal Inference","BLEU, METEOR, ROUGE, CIDEr, SPICE, CHAIR",CVPR 2022,,,,,,
2022,NOC-REK: Novel Object Captioning With Retrieved vocabulary From External Knowledge,NOC-REK: Novel Object Captioning With Retrieved vocabulary From External Knowledge,"METEOR, CIDEr, SPICE",CVPR 2022,,,,,,
2022,It Is Okay To Not Be Okay: Overcoming Emotional Bias in Affective Image Captioning by Contrastive Data Collection,It Is Okay To Not Be Okay: Overcoming Emotional Bias in Affective Image Captioning by Contrastive Data Collection,"BLEU, METEOR, ROUGE, CIDEr",CVPR 2022,comparative,which is better,100,5,no,no
2022,Injecting Semantic Concepts Into End-to-End Image Captioning,Injecting Semantic Concepts Into End-to-End Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2022,,,,,,
2022,Scaling Up Vision-Language Pre-Training for Image Captioning,Scaling Up Vision-Language Pre-Training for Image Captioning,"BLEU, METEOR, CIDEr, SPICE",CVPR 2022,,,,,,
2022,Beyond a Pre-Trained Object Detector: Cross-Modal Textual and Visual Context for Image Captioning,Beyond a Pre-Trained Object Detector: Cross-Modal Textual and Visual Context for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",CVPR 2022,,,,,,
2022,Weakly-Supervised Generation and Grounding of Visual Descriptions With Conditional Generative Models,Weakly-Supervised Generation and Grounding of Visual Descriptions With Conditional Generative Models,"BLEU, METEOR, CIDEr, SPICE",CVPR 2022,,,,,,
2022,Paraphrasing Is All You Need for Novel Object Captioning,Paraphrasing Is All You Need for Novel Object Captioning,"BLEU, CIDEr, SPICE",Neurips 2022,"comparative, scale rating, yes/no questions","correctness, amount of detail, objects and activities correctness",60,24,no,no
2022,Learning Distinct and Representative Modes for Image Captioning,Learning Distinct and Representative Modes for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, CLIPScore, Self-CIDEr, Div-n, mBLEU",Neurips 2022,,,,,,
2022,Visual Clues: Bridging Vision and Language Foundations for Image Paragraph Captioning,Visual Clues: Bridging Vision and Language Foundations for Image Paragraph Captioning,SPIPE,Neurips 2022,comparative,"accuracy, completeness, coherence",200,5,yes,no
2022,Attention-Aligned Transformer for Image Captioning,Attention-Aligned Transformer for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2022,comparative,"naturalness, relevance, richness",400,8,no,no
2022,MAGIC: Multimodal relAtional Graph adversarIal inferenCe for Diverse and Unpaired Text-Based Image Captioning,MAGIC: Multimodal relAtional Graph adversarIal inferenCe for Diverse and Unpaired Text-Based Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, Self-CIDEr, Div-n",AAAI 2022,comparative,"diversity, accuracy, fluency",100,5,no,no
2022,Image Difference Captioning with Pre-training and Contrastive Learning,Image Difference Captioning with Pre-training and Contrastive Learning,"BLEU, METEOR, ROUGE, CIDEr",AAAI 2022,,,,,,
2022,End-to-End Transformer Based Model for Image Captioning,End-to-End Transformer Based Model for Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE",AAAI 2022,,,,,,
2022,"Retrieve, Caption, Generate: Visual Grounding for Enhancing Commonsense in Text Generation Models","Retrieve, Caption, Generate: Visual Grounding for Enhancing Commonsense in Text Generation Models","BLEU, METEOR, ROUGE, CIDEr, SPICE, BERTScore, perplexity",AAAI 2022,comparative,"overall quality, commonsense, fluency",86,,yes,yes
2021,Journalistic Guidelines Aware News Image Captioning,Journalistic Guidelines Aware News Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, Named entities PR",EMNLP 2021,scale rating,"describe image well, describe article well, easy to understand",200,,no,no
2021,Visual News: Benchmark and Challenges in News Image Captioning,Visual News: Benchmark and Challenges in News Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, Named entities PR",EMNLP 2021,,,,,,
2021,Rˆ3Net:Relation-embedded Representation Reconstruction Network for Change Captioning,Rˆ3Net:Relation-embedded Representation Reconstruction Network for Change Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",EMNLP 2021,,,,,,
2021,Language Resource Efficient Learning for Captioning,Language Resource Efficient Learning for Captioning - ACL Anthology,"BLEU, METEOR, CIDEr",EMNLP 2021,,,,,,
2021,"Retrieval, Analogy, and Composition: A framework for Compositional Generalization in Image Captioning","Retrieval, Analogy, and Composition: A framework for Compositional Generalization in Image Captioning - ACL Anthology","BLEU, METEOR, ROUGE, CIDEr, SPICE, Div-n, Self-BLEU",EMNLP 2021,,,,,,
2021,Understanding Guided Image Captioning Performance across Domains,Understanding Guided Image Captioning Performance across Domains - ACL Anthology,"METEOR, ROUGE, CIDEr, SPICE, Div-n",CONLL 2021,scale rating,"informativness, correctness, fluency",1000,,no,no
2021,Control Image Captioning Spatially and Temporally,Control Image Captioning Spatially and Temporally - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr",ACL 2021,,,,,,
2021,Enhancing Descriptive Image Captioning with Natural Language Inference,Enhancing Descriptive Image Captioning with Natural Language Inference - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE, retrieval",ACL 2021,scale rating,"fluency, descriptiveness, fidelity",100,3,no,no
2021,Semantic Relation-aware Difference Representation Learning for Change Captioning,Semantic Relation-aware Difference Representation Learning for Change Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",ACL 2021,,,,,,
2021,The Role of Syntactic Planning in Compositional Image Captioning,The Role of Syntactic Planning in Compositional Image Captioning - ACL Anthology,"BLEU, METEOR, CIDEr, SPICE, BERTScore",EACL 2021,,,,,,
2021,ECOL-R: Encouraging Copying in Novel Object Captioning with Reinforcement Learning,ECOL-R: Encouraging Copying in Novel Object Captioning with Reinforcement Learning - ACL Anthology,"METEOR, CIDEr, SPICE, Object PR",EACL 2021,,,,,,
2021,Removing Word-Level Spurious Alignment between Images and Pseudo-Captions in Unsupervised Image Captioning,Removing Word-Level Spurious Alignment between Images and Pseudo-Captions in Unsupervised Image Captioning,"BLEU, METEOR, ROUGE, CIDEr, SPICE, Object PR",EACL 2021,,,,,,
2021,Exploiting Image–Text Synergy for Contextual Image Captioning,Exploiting Image–Text Synergy for Contextual Image Captioning - ACL Anthology,"BLEU, ROUGE, CIDEr, SPICE, SemSim",EACL 2021,,,,,,
2021,Multi-Modal Image Captioning for the Visually Impaired,Multi-Modal Image Captioning for the Visually Impaired - ACL Anthology,"BLEU, ROUGE, CIDEr, SPICE",NAACL 2021,,,,,,
2021,Leveraging Partial Dependency Trees to Control Image Captions,Leveraging Partial Dependency Trees to Control Image Captions - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",NAACL 2021,,,,,,
2021,Validity-Based Sampling and Smoothing Methods for Multiple Reference Image Captioning,Validity-Based Sampling and Smoothing Methods for Multiple Reference Image Captioning - ACL Anthology,"BLEU, METEOR, ROUGE, CIDEr, SPICE",NAACL 2021,,,,,,
